Bezeichnung;Zeit;Wert;Einheit
NS_NSM;1896_07;119;mm
NS_NSM;1896_08;67;mm
NS_NSM;1896_09;77;mm
NS_NSM;1896_10;74;mm
NS_NSM;1896_11;41;mm
NS_NSM;1896_12;61;mm
NS_NSM;1897_01;25;mm
NS_NSM;1897_02;84;mm
NS_NSM;1897_03;62;mm
NS_NSM;1897_04;83;mm
NS_NSM;1897_05;54;mm
NS_NSM;1897_06;100;mm
NS_NSM;1897_07;65;mm
NS_NSM;1897_08;69;mm
NS_NSM;1897_09;50;mm
NS_NSM;1897_10;14;mm
NS_NSM;1897_11;22;mm
NS_NSM;1897_12;24;mm
NS_NSM;1898_01;17;mm
NS_NSM;1898_02;83;mm
NS_NSM;1898_03;48;mm
NS_NSM;1898_04;44;mm
NS_NSM;1898_05;82;mm
NS_NSM;1898_06;93;mm
NS_NSM;1898_07;95;mm
NS_NSM;1898_08;58;mm
NS_NSM;1898_09;18;mm
NS_NSM;1898_10;43;mm
NS_NSM;1898_11;16;mm
NS_NSM;1898_12;31;mm
NS_NSM;1899_01;52;mm
NS_NSM;1899_02;17;mm
NS_NSM;1899_03;22;mm
NS_NSM;1899_04;76;mm
NS_NSM;1899_05;66;mm
NS_NSM;1899_06;25;mm
NS_NSM;1899_07;68;mm
NS_NSM;1899_08;12;mm
NS_NSM;1899_09;81;mm
NS_NSM;1899_10;15;mm
NS_NSM;1899_11;26;mm
NS_NSM;1899_12;26;mm
NS_NSM;1900_01;107;mm
NS_NSM;1900_02;48;mm
NS_NSM;1900_03;9;mm
NS_NSM;1900_04;19;mm
NS_NSM;1900_05;54;mm
NS_NSM;1900_06;61;mm
NS_NSM;1900_07;107;mm
NS_NSM;1900_08;85;mm
NS_NSM;1900_09;10;mm
NS_NSM;1900_10;86;mm
NS_NSM;1900_11;39;mm
NS_NSM;1900_12;62;mm
NS_NSM;1901_01;26;mm
NS_NSM;1901_02;54;mm
NS_NSM;1901_03;57;mm
NS_NSM;1901_04;42;mm
NS_NSM;1901_05;21;mm
NS_NSM;1901_06;40;mm
NS_NSM;1901_07;27;mm
NS_NSM;1901_08;94;mm
NS_NSM;1901_09;122;mm
NS_NSM;1901_10;126;mm
NS_NSM;1901_11;45;mm
NS_NSM;1901_12;61;mm
NS_NSM;1902_01;26;mm
NS_NSM;1902_02;23;mm
NS_NSM;1902_03;52;mm
NS_NSM;1902_04;40;mm
NS_NSM;1902_05;83;mm
NS_NSM;1902_06;41;mm
NS_NSM;1902_07;51;mm
NS_NSM;1902_08;61;mm
NS_NSM;1902_09;68;mm
NS_NSM;1902_10;50;mm
NS_NSM;1902_11;21;mm
NS_NSM;1902_12;103;mm
NS_NSM;1903_01;43;mm
NS_NSM;1903_02;17;mm
NS_NSM;1903_03;32;mm
NS_NSM;1903_04;79;mm
NS_NSM;1903_05;76;mm
NS_NSM;1903_06;49;mm
NS_NSM;1903_07;125;mm
NS_NSM;1903_08;69;mm
NS_NSM;1903_09;62;mm
NS_NSM;1903_10;60;mm
NS_NSM;1903_11;62;mm
NS_NSM;1903_12;17;mm
NS_NSM;1904_01;52;mm
NS_NSM;1904_02;56;mm
NS_NSM;1904_03;53;mm
NS_NSM;1904_04;32;mm
NS_NSM;1904_05;34;mm
NS_NSM;1904_06;39;mm
NS_NSM;1904_07;42;mm
NS_NSM;1904_08;45;mm
NS_NSM;1904_09;38;mm
NS_NSM;1904_10;41;mm
NS_NSM;1904_11;44;mm
NS_NSM;1904_12;60;mm
NS_NSM;1905_01;30;mm
NS_NSM;1905_02;36;mm
NS_NSM;1905_03;80;mm
NS_NSM;1905_04;62;mm
NS_NSM;1905_05;41;mm
NS_NSM;1905_06;129;mm
NS_NSM;1905_07;59;mm
NS_NSM;1905_08;59;mm
NS_NSM;1905_09;64;mm
NS_NSM;1905_10;92;mm
NS_NSM;1905_11;88;mm
NS_NSM;1905_12;29;mm
NS_NSM;1906_01;72;mm
NS_NSM;1906_02;66;mm
NS_NSM;1906_03;92;mm
NS_NSM;1906_04;33;mm
NS_NSM;1906_05;111;mm
NS_NSM;1906_06;85;mm
NS_NSM;1906_07;65;mm
NS_NSM;1906_08;47;mm
NS_NSM;1906_09;19;mm
NS_NSM;1906_10;50;mm
NS_NSM;1906_11;54;mm
NS_NSM;1906_12;55;mm
NS_NSM;1907_01;38;mm
NS_NSM;1907_02;41;mm
NS_NSM;1907_03;48;mm
NS_NSM;1907_04;29;mm
NS_NSM;1907_05;53;mm
NS_NSM;1907_06;55;mm
NS_NSM;1907_07;84;mm
NS_NSM;1907_08;77;mm
NS_NSM;1907_09;43;mm
NS_NSM;1907_10;56;mm
NS_NSM;1907_11;47;mm
NS_NSM;1907_12;44;mm
NS_NSM;1908_01;25;mm
NS_NSM;1908_02;63;mm
NS_NSM;1908_03;36;mm
NS_NSM;1908_04;69;mm
NS_NSM;1908_05;83;mm
NS_NSM;1908_06;64;mm
NS_NSM;1908_07;82;mm
NS_NSM;1908_08;150;mm
NS_NSM;1908_09;37;mm
NS_NSM;1908_10;4;mm
NS_NSM;1908_11;43;mm
NS_NSM;1908_12;16;mm
NS_NSM;1909_01;30;mm
NS_NSM;1909_02;55;mm
NS_NSM;1909_03;30;mm
NS_NSM;1909_04;57;mm
NS_NSM;1909_05;29;mm
NS_NSM;1909_06;102;mm
NS_NSM;1909_07;95;mm
NS_NSM;1909_08;54;mm
NS_NSM;1909_09;68;mm
NS_NSM;1909_10;46;mm
NS_NSM;1909_11;38;mm
NS_NSM;1909_12;58;mm
NS_NSM;1910_01;39;mm
NS_NSM;1910_02;65;mm
NS_NSM;1910_03;31;mm
NS_NSM;1910_04;24;mm
NS_NSM;1910_05;34;mm
NS_NSM;1910_06;109;mm
NS_NSM;1910_07;94;mm
NS_NSM;1910_08;49;mm
NS_NSM;1910_09;133;mm
NS_NSM;1910_10;26;mm
NS_NSM;1910_11;84;mm
NS_NSM;1910_12;49;mm
NS_NSM;1911_01;25;mm
NS_NSM;1911_02;39;mm
NS_NSM;1911_03;58;mm
NS_NSM;1911_04;21;mm
NS_NSM;1911_05;44;mm
NS_NSM;1911_06;46;mm
NS_NSM;1911_07;30;mm
NS_NSM;1911_08;21;mm
NS_NSM;1911_09;23;mm
NS_NSM;1911_10;63;mm
NS_NSM;1911_11;37;mm
NS_NSM;1911_12;87;mm
NS_NSM;1912_01;63;mm
NS_NSM;1912_02;47;mm
NS_NSM;1912_03;46;mm
NS_NSM;1912_04;16;mm
NS_NSM;1912_05;47;mm
NS_NSM;1912_06;65;mm
NS_NSM;1912_07;46;mm
NS_NSM;1912_08;89;mm
NS_NSM;1912_09;74;mm
NS_NSM;1912_10;61;mm
NS_NSM;1912_11;74;mm
NS_NSM;1912_12;55;mm
NS_NSM;1913_01;53;mm
NS_NSM;1913_02;20;mm
NS_NSM;1913_03;47;mm
NS_NSM;1913_04;32;mm
NS_NSM;1913_05;50;mm
NS_NSM;1913_06;86;mm
NS_NSM;1913_07;132;mm
NS_NSM;1913_08;17;mm
NS_NSM;1913_09;71;mm
NS_NSM;1913_10;77;mm
NS_NSM;1913_11;41;mm
NS_NSM;1913_12;48;mm
NS_NSM;1914_01;45;mm
NS_NSM;1914_02;25;mm
NS_NSM;1914_03;83;mm
NS_NSM;1914_04;26;mm
NS_NSM;1914_05;85;mm
NS_NSM;1914_06;98;mm
NS_NSM;1914_07;98;mm
NS_NSM;1914_08;46;mm
NS_NSM;1914_09;53;mm
NS_NSM;1914_10;51;mm
NS_NSM;1914_11;45;mm
NS_NSM;1914_12;49;mm
NS_NSM;1915_01;61;mm
NS_NSM;1915_02;33;mm
NS_NSM;1915_03;53;mm
NS_NSM;1915_04;53;mm
NS_NSM;1915_05;39;mm
NS_NSM;1915_06;72;mm
NS_NSM;1915_07;78;mm
NS_NSM;1915_08;91;mm
NS_NSM;1915_09;28;mm
NS_NSM;1915_10;29;mm
NS_NSM;1915_11;51;mm
NS_NSM;1915_12;101;mm
NS_NSM;1916_01;61;mm
NS_NSM;1916_02;62;mm
NS_NSM;1916_03;64;mm
NS_NSM;1916_04;60;mm
NS_NSM;1916_05;56;mm
NS_NSM;1916_06;80;mm
NS_NSM;1916_07;59;mm
NS_NSM;1916_08;57;mm
NS_NSM;1916_09;31;mm
NS_NSM;1916_10;56;mm
NS_NSM;1916_11;27;mm
NS_NSM;1916_12;69;mm
NS_NSM;1917_01;48;mm
NS_NSM;1917_02;15;mm
NS_NSM;1917_03;38;mm
NS_NSM;1917_04;38;mm
NS_NSM;1917_05;49;mm
NS_NSM;1917_06;77;mm
NS_NSM;1917_07;76;mm
NS_NSM;1917_08;123;mm
NS_NSM;1917_09;7;mm
NS_NSM;1917_10;101;mm
NS_NSM;1917_11;50;mm
NS_NSM;1917_12;18;mm
NS_NSM;1918_01;57;mm
NS_NSM;1918_02;20;mm
NS_NSM;1918_03;25;mm
NS_NSM;1918_04;58;mm
NS_NSM;1918_05;33;mm
NS_NSM;1918_06;35;mm
NS_NSM;1918_07;61;mm
NS_NSM;1918_08;70;mm
NS_NSM;1918_09;72;mm
NS_NSM;1918_10;93;mm
NS_NSM;1918_11;36;mm
NS_NSM;1918_12;88;mm
NS_NSM;1919_01;29;mm
NS_NSM;1919_02;38;mm
NS_NSM;1919_03;52;mm
NS_NSM;1919_04;44;mm
NS_NSM;1919_05;23;mm
NS_NSM;1919_06;53;mm
NS_NSM;1919_07;72;mm
NS_NSM;1919_08;52;mm
NS_NSM;1919_09;45;mm
NS_NSM;1919_10;30;mm
NS_NSM;1919_11;106;mm
NS_NSM;1919_12;99;mm
NS_NSM;1920_01;74;mm
NS_NSM;1920_02;32;mm
NS_NSM;1920_03;16;mm
NS_NSM;1920_04;51;mm
NS_NSM;1920_05;27;mm
