month_day,reference_period,tasmin,tas,tasmax
04-24,1971-2000,4.0780683,8.843634,14.166218
04-25,1971-2000,3.957518,8.992782,14.137434
04-26,1971-2000,4.175621,9.283472,14.367361
04-27,1971-2000,4.3990107,8.777051,13.676745
04-28,1971-2000,4.275865,8.887449,13.499914
04-29,1971-2000,4.7487693,9.643821,14.547345
04-30,1971-2000,5.225805,10.436834,15.484898
05-01,1971-2000,5.5865965,10.557207,15.874282
05-02,1971-2000,5.4967976,10.41978,15.667108
05-03,1971-2000,5.195452,10.364957,15.569857
05-04,1971-2000,5.549057,10.473799,15.377357
05-05,1971-2000,5.7597404,10.864851,16.138874
05-06,1971-2000,5.6231484,11.059507,16.295105
05-07,1971-2000,6.288596,11.549334,16.834042
05-08,1971-2000,6.617057,11.582081,16.9405
05-09,1971-2000,6.301954,12.00556,17.571833
05-10,1971-2000,6.900163,12.081619,17.361513
05-11,1971-2000,6.9361234,11.924935,16.947462
05-12,1971-2000,7.0837607,12.141723,17.12832
05-13,1971-2000,7.141404,12.244202,17.503107
05-14,1971-2000,7.1280994,12.333879,17.575354
05-15,1971-2000,7.063078,12.54982,18.030672
05-16,1971-2000,6.9672995,13.175295,18.871656
05-17,1971-2000,7.7285357,13.582738,19.297634
05-18,1971-2000,7.9598293,13.929382,19.629564
05-19,1971-2000,8.210334,13.927954,19.555532
05-20,1971-2000,8.487477,13.756747,19.029966
05-21,1971-2000,8.564223,13.140954,18.18549
05-22,1971-2000,7.9219723,12.28616,17.149296
05-23,1971-2000,7.300587,12.778859,17.875994
05-24,1971-2000,7.923305,12.919682,17.862558
05-25,1971-2000,8.179122,13.385961,18.35324
05-26,1971-2000,8.25096,14.124695,19.35206
05-27,1971-2000,8.725659,13.904336,19.250507
05-28,1971-2000,8.488619,13.501493,18.789171
05-29,1971-2000,8.122642,13.609305,18.843678
05-30,1971-2000,8.461094,13.690828,18.884441
05-31,1971-2000,8.406291,14.140651,19.347588
06-01,1971-2000,9.003636,14.7413645,19.978662
06-02,1971-2000,9.56566,15.224271,20.72035
06-03,1971-2000,10.062132,15.132083,20.221434
06-04,1971-2000,10.218421,14.913456,20.187817
06-05,1971-2000,9.629754,15.293942,20.748219
06-06,1971-2000,10.16566,15.124154,20.06499
06-07,1971-2000,10.433484,15.126544,19.993074
06-08,1971-2000,10.15102,14.734157,19.794985
06-09,1971-2000,9.933386,15.154372,20.19287
06-10,1971-2000,10.377797,15.304472,20.475346
06-11,1971-2000,10.302854,14.717645,19.59307
06-12,1971-2000,9.994782,14.782699,19.639341
06-13,1971-2000,9.949576,15.040472,19.935429
06-14,1971-2000,10.192267,15.180475,20.112621
06-15,1971-2000,9.956206,14.488674,19.313725
06-16,1971-2000,9.577337,13.8980465,18.373907
06-17,1971-2000,9.116186,14.231222,19.20592
06-18,1971-2000,9.411699,14.47553,19.241337
06-19,1971-2000,9.820094,15.435069,20.414906
06-20,1971-2000,10.714614,15.889017,20.79809
06-21,1971-2000,11.073298,16.004326,21.046305
06-22,1971-2000,11.002726,15.582837,20.571728
06-23,1971-2000,10.806579,15.174206,19.856562
06-24,1971-2000,10.572788,15.231899,19.995464
06-25,1971-2000,10.612461,16.06083,21.103449
06-26,1971-2000,11.204484,16.820387,22.062687
06-27,1971-2000,11.781436,16.751135,22.044903
06-28,1971-2000,11.521105,16.161465,21.048733
06-29,1971-2000,11.248607,16.07546,21.153927
06-30,1971-2000,11.1263685,16.180803,21.180101
07-01,1971-2000,11.386086,16.291403,21.305288
07-02,1971-2000,11.335336,16.944527,22.06128
07-03,1971-2000,11.912337,17.47103,22.71175
07-04,1971-2000,12.280454,17.422007,22.534893
07-05,1971-2000,12.384764,17.67176,22.946497
07-06,1971-2000,12.204801,17.160707,22.294888
07-07,1971-2000,11.943723,17.053474,22.1688
07-08,1971-2000,11.831544,17.079063,22.173897
07-09,1971-2000,12.349699,17.532879,22.544916
07-10,1971-2000,12.33219,17.529654,22.800045
07-11,1971-2000,12.32923,18.004353,23.397276
07-12,1971-2000,12.875083,17.835285,23.177858
07-13,1971-2000,12.493227,17.458673,22.607172
07-14,1971-2000,12.239975,16.995697,22.04137
07-15,1971-2000,12.375713,16.809898,21.703613
07-16,1971-2000,12.135392,17.085205,22.068544
07-17,1971-2000,12.430883,17.085957,22.173239
07-18,1971-2000,12.342535,16.634275,21.45293
07-19,1971-2000,12.371843,16.631357,21.359938
07-20,1971-2000,12.114309,17.083305,22.099138
07-21,1971-2000,12.343259,16.989109,22.21462
07-22,1971-2000,11.770326,17.072063,22.547367
07-23,1971-2000,12.028326,17.729786,23.267992
07-24,1971-2000,12.500399,17.44226,22.92716
07-25,1971-2000,12.361353,16.922953,22.140827
07-26,1971-2000,12.367074,17.27226,22.40505
07-27,1971-2000,12.811712,17.478577,22.618351
07-28,1971-2000,12.697525,17.78034,22.966896
07-29,1971-2000,13.163973,18.364803,23.91772
07-30,1971-2000,13.110843,18.790106,24.653437
07-31,1971-2000,13.0788555,18.585535,24.486332
08-01,1971-2000,13.09744,18.280762,24.05684
08-02,1971-2000,13.025737,18.145823,23.672754
08-03,1971-2000,12.987219,18.452173,24.248344
08-04,1971-2000,13.091205,18.070501,23.655071
08-05,1971-2000,12.689151,17.982239,23.701075
08-06,1971-2000,12.443971,18.145964,24.03456
08-07,1971-2000,12.655635,18.164894,24.103045
08-08,1971-2000,12.8912945,17.875683,23.480883
