Year,t_deviation
1951,-0.2795961610370181
1952,-0.7813660725414415
1953,-0.04331297519630972
1954,-0.9742864265237436
1955,-1.1911005858157804
1956,-1.9698616477626807
1957,-0.12384394864763593
1958,-0.5583572229839202
1959,0.4027047239187347
1960,-0.3203041256387884
1961,0.18854543188333572
1962,-1.7787112052848055
1963,-1.8158793468777255
1964,-0.47428642652374364
1965,-1.2194191698865762
1966,-0.15747226723170726
1967,0.04429764427271721
1968,-0.6450828867007363
1969,-0.6583572229839199
1970,-0.8557023557272831
1971,-0.3176492583821524
1972,-0.9450828867007353
1973,-0.3831359840458681
1974,0.043412688520504616
1975,0.16111180356475252
1976,0.1124392371930707
1978,-0.9937554530724153
1979,-1.2052598778511747
1980,-0.7840209397980793
1981,-0.5760563380281667
1982,0.1513772902904158
1983,0.22394366197183224
1984,-0.6309235946653349
1985,-1.4769412937803814
1986,-0.8185342141343632
1987,-1.1503926212140083
1988,0.33987286551165674
1989,0.7752710956001501
1990,0.7575719805559036
1991,-0.4353483734264003
1992,0.4310233079895305
1993,-0.2318085504175471
1994,0.9655365823258144
1995,0.5381029540072308
1996,-1.2645519132494076
1997,0.30270472391873327
1998,0.360226847812541
1999,0.9204038389629812
2000,1.0681914495824518
2001,0.4451826000249284
2002,0.9655365823258144
2003,0.8018197681665207
2004,0.17527109560015042
2005,0.6115542814408581
2006,1.023943661971833
2007,1.1345631309983801
2008,0.43456313099838084
2009,0.5248286177240438
2010,-0.8557023557272831
2011,1.022173750467406
2012,0.2938551663966109
2013,-0.18136607254144188
2014,1.4912002991399724
2015,0.9416427770160798
2016,0.7345631309983798
2017,1.0027047239187343
2018,1.5133241929452836
2019,1.2168640159541333
2020,1.792085254892184
2021,0.35934189206032663
2022,1.825713573476257
