Date,Mean,Month
1968-10-01,52.0,10
1968-11-01,28.0,11
1968-12-01,30.88495575,12
1969-01-01,38.16814159,1
1969-02-01,48.61946903,2
1969-03-01,45.33628319,3
1969-04-01,45.4159292,4
1969-05-01,67.82300885,5
1969-06-01,56.72566372,6
1969-07-01,59.01769912,7
1969-08-01,175.6460177,8
1969-09-01,32.75221239,9
1969-10-01,7.495575221,10
1969-11-01,69.59292035,11
1969-12-01,17.50442478,12
1970-01-01,67.75221239,1
1970-02-01,103.4159292,2
1970-03-01,65.2300885,3
1970-04-01,70.40707965,4
1970-05-01,52.15929204,5
1970-06-01,59.97345133,6
1970-07-01,101.9115044,7
1970-08-01,69.95575221,8
1970-09-01,53.25663717,9
1970-10-01,84.79646018,10
1970-11-01,40.12389381,11
1970-12-01,33.97345133,12
1971-01-01,35.7699115,1
1971-02-01,22.05309735,2
1971-03-01,29.97345133,3
1971-04-01,27.50442478,4
1971-05-01,81.90265487,5
1971-06-01,122.2035398,6
1971-07-01,36.2300885,7
1971-08-01,59.73451327,8
1971-09-01,10.61061947,9
1971-10-01,23.77876106,10
1971-11-01,74.91150442,11
1971-12-01,8.982300885,12
1972-01-01,25.86725664,1
1972-02-01,15.45132743,2
1972-03-01,43.02654867,3
1972-04-01,44.18584071,4
1972-05-01,97.26548673,5
1972-06-01,54.63716814,6
1972-07-01,68.61946903,7
1972-08-01,84.16814159,8
1972-09-01,72.92920354,9
1972-10-01,12.3539823,10
1972-11-01,49.97345133,11
1972-12-01,20.7079646,12
1973-01-01,26.23893805,1
1973-02-01,55.42477876,2
1973-03-01,23.24778761,3
1973-04-01,72.63716814,4
1973-05-01,68.45132743,5
1973-06-01,24.63716814,6
1973-07-01,78.21238938,7
1973-08-01,32.84070796,8
1973-09-01,30.20353982,9
1973-10-01,55.15929204,10
1973-11-01,54.02654867,11
1973-12-01,64.97345133,12
1974-01-01,46.75221239,1
1974-02-01,34.4159292,2
1974-03-01,65.39823009,3
1974-04-01,20.50442478,4
1974-05-01,53.45132743,5
1974-06-01,66.30088496,6
1974-07-01,77.39823009,7
1974-08-01,77.26548673,8
1974-09-01,78.03539823,9
1974-10-01,103.9911504,10
1974-11-01,96.0619469,11
1974-12-01,90.84070796,12
1975-01-01,59.54867257,1
1975-02-01,19.26548673,2
1975-03-01,70.00884956,3
1975-04-01,44.0,4
1975-05-01,24.9380531,5
1975-06-01,58.84955752,6
1975-07-01,73.68141593,7
1975-08-01,50.14159292,8
1975-09-01,55.5840708,9
1975-10-01,16.53982301,10
1975-11-01,76.27433628,11
1975-12-01,18.0,12
1976-01-01,64.36283186,1
1976-02-01,22.51327434,2
1976-03-01,22.60176991,3
1976-04-01,19.39823009,4
1976-05-01,42.66371681,5
1976-06-01,18.92920354,6
1976-07-01,68.92920354,7
1976-08-01,13.0619469,8
1976-09-01,47.69026549,9
1976-10-01,37.19469027,10
1976-11-01,55.84070796,11
1976-12-01,25.4159292,12
1977-01-01,36.22123894,1
1977-02-01,71.92035398,2
1977-03-01,43.6460177,3
1977-04-01,64.47787611,4
1977-05-01,43.65486726,5
1977-06-01,76.72566372,6
1977-07-01,45.37168142,7
1977-08-01,129.4955752,8
1977-09-01,26.15044248,9
1977-10-01,28.60176991,10
1977-11-01,87.72566372,11
1977-12-01,57.23893805,12
1978-01-01,29.43362832,1
1978-02-01,33.79646018,2
1978-03-01,74.81415929,3
1978-04-01,38.46902655,4
1978-05-01,66.09734513,5
1978-06-01,50.07079646,6
1978-07-01,64.69026549,7
1978-08-01,47.27433628,8
1978-09-01,60.56637168,9
1978-10-01,33.96460177,10
1978-11-01,15.15929204,11
1978-12-01,73.37168142,12
1979-01-01,49.2300885,1
1979-02-01,36.5840708,2
1979-03-01,98.5840708,3
1979-04-01,52.52212389,4
1979-05-01,65.85840708,5
1979-06-01,52.05309735,6
1979-07-01,58.38938053,7
1979-08-01,68.44247788,8
1979-09-01,21.76106195,9
1979-10-01,30.72566372,10
1979-11-01,76.12389381,11
1979-12-01,103.5840708,12
1980-01-01,37.23893805,1
1980-02-01,36.53982301,2
1980-04-01,35.26548673,4
1980-05-01,44.83185841,5
1980-06-01,80.78761062,6
1980-07-01,146.9292035,7
1980-08-01,71.07079646,8
1980-09-01,33.84070796,9
1980-10-01,40.08849558,10
1980-11-01,35.25663717,11
1980-12-01,62.44247788,12
1981-01-01,86.62831858,1
1981-02-01,33.44247788,2
1981-03-01,67.43362832,3
1981-04-01,25.47787611,4
1981-05-01,70.0619469,5
1981-06-01,119.9026549,6
1981-07-01,53.68141593,7
1981-08-01,75.65486726,8
1981-09-01,55.74336283,9
1981-10-01,85.66371681,10
1981-11-01,79.15929204,11
1981-12-01,80.7079646,12
1982-01-01,57.90265487,1
1982-02-01,22.12389381,2
1982-03-01,48.47787611,3
1982-04-01,35.74336283,4
1982-05-01,84.20353982,5
1982-06-01,87.43362832,6
1982-07-01,47.38053097,7
1982-08-01,67.55752212,8
1982-09-01,43.72566372,9
1982-10-01,115.6106195,10
1982-11-01,41.47787611,11
1982-12-01,66.9380531,12
1983-01-01,71.15929204,1
1983-02-01,48.2300885,2
1983-03-01,65.83185841,3
1983-04-01,47.30973451,4
1983-05-01,138.1150442,5
1983-06-01,57.0619469,6
1983-07-01,32.2300885,7
1983-08-01,27.45132743,8
1983-09-01,43.77876106,9
1983-11-01,39.88495575,11
1983-12-01,45.71681416,12
