time,p,Einheit,PET,KWB
1991-01-01,42.0,mm,17.46772151898734,24.53227848101266
1991-02-01,14.0,mm,10.501265822784813,3.498734177215187
1991-03-01,36.0,mm,37.36645569620253,-1.3664556962025287
1991-04-01,42.0,mm,66.20886075949366,-24.20886075949366
1991-05-01,28.0,mm,72.9132911392405,-44.9132911392405
1991-06-01,85.0,mm,77.01392405063291,7.986075949367091
1991-07-01,55.0,mm,117.39430379746835,-62.39430379746835
1991-08-01,47.0,mm,94.4132911392405,-47.4132911392405
1991-09-01,39.0,mm,56.48101265822785,-17.481012658227847
1991-10-01,36.0,mm,24.71455696202532,11.28544303797468
1991-11-01,76.0,mm,14.881645569620252,61.118354430379746
1991-12-01,74.0,mm,9.624683544303798,64.37531645569621
1992-01-01,28.0,mm,9.160759493670886,18.839240506329112
1992-02-01,29.0,mm,18.10506329113924,10.894936708860762
1992-03-01,73.0,mm,39.69810126582279,33.30189873417721
1992-04-01,41.0,mm,60.12594936708861,-19.12594936708861
1992-05-01,30.0,mm,112.48924050632912,-82.48924050632912
1992-06-01,128.0,mm,92.4506329113924,35.549367088607596
1992-07-01,71.0,mm,102.1012658227848,-31.101265822784796
1992-08-01,89.0,mm,85.49303797468355,3.5069620253164544
1992-09-01,38.0,mm,48.15759493670886,-10.157594936708861
1992-10-01,73.0,mm,22.082278481012654,50.91772151898735
1992-11-01,63.0,mm,18.8373417721519,44.1626582278481
1992-12-01,57.0,mm,8.585443037974683,48.414556962025316
1993-01-01,73.0,mm,20.629113924050635,52.370886075949365
1993-02-01,30.0,mm,10.093037974683543,19.906962025316457
1993-03-01,5.0,mm,41.605063291139246,-36.605063291139246
1993-04-01,39.0,mm,69.51012658227849,-30.510126582278488
1993-05-01,59.0,mm,92.85759493670886,-33.857594936708864
1993-06-01,33.0,mm,94.98291139240506,-61.98291139240506
1993-07-01,99.0,mm,91.3620253164557,7.6379746835443
1993-08-01,36.0,mm,75.79493670886076,-39.79493670886076
1993-09-01,133.0,mm,39.68860759493671,93.31139240506329
1993-10-01,87.0,mm,21.472784810126583,65.52721518987342
1993-11-01,39.0,mm,8.725949367088607,30.274050632911393
1993-12-01,136.0,mm,16.286708860759493,119.71329113924051
1994-01-01,75.0,mm,17.227848101265824,57.77215189873418
1994-02-01,27.0,mm,11.240506329113924,15.759493670886076
1994-03-01,77.0,mm,42.58544303797469,34.41455696202531
1994-04-01,39.0,mm,58.42025316455696,-19.42025316455696
1994-05-01,59.0,mm,74.71075949367089,-15.710759493670892
1994-06-01,61.0,mm,101.79240506329114,-40.79240506329114
1994-07-01,39.0,mm,121.16898734177217,-82.16898734177217
1994-08-01,62.0,mm,80.25379746835443,-18.253797468354435
1994-09-01,74.0,mm,39.61455696202532,34.38544303797468
1994-10-01,40.0,mm,26.003797468354428,13.996202531645572
1994-11-01,51.0,mm,12.846835443037977,38.153164556962025
1994-12-01,57.0,mm,14.148101265822785,42.85189873417721
1995-01-01,111.0,mm,19.29113924050633,91.70886075949367
1995-02-01,68.0,mm,24.582911392405062,43.417088607594934
1995-03-01,69.0,mm,43.17721518987342,25.822784810126578
