Zeit,Wert,Einheit,SPI_1,SPI_3,SPI_6,SPI_12,SPI_24
1881-01-01,25,mm,-0.9629931734704471,,,,
1881-02-01,52,mm,0.385857363685475,,,,
1881-03-01,92,mm,1.5619025456288123,0.6730409692045373,,,
1881-04-01,31,mm,-0.3731496499293116,0.9516719552961703,,,
1881-05-01,34,mm,-0.9893346497644576,0.479828082037638,,,
1881-06-01,31,mm,-1.4958985472912125,-1.8311572757441656,-0.6040254217964567,,
1881-07-01,55,mm,-0.2771880206432646,-1.8050835819340005,-0.3479551244083404,,
1881-08-01,125,mm,1.4737033567122373,0.1413506463309473,0.4186186072924348,,
1881-09-01,85,mm,1.0697616020819753,1.1474937049232046,0.15318132123581205,,
1881-10-01,52,mm,0.11785153928479078,1.6545871113816624,0.21547851288276157,,
1881-11-01,31,mm,-0.8576229770290723,0.22490873387378038,0.19058382960165735,,
1881-12-01,42,mm,-0.6804624955837688,-1.1877234419902853,0.4526798690735121,-0.049095713165701285,
1882-01-01,21,mm,-1.2100320747499822,-2.0749115715499156,0.2766374760208052,-0.09454612763493747,
1882-02-01,35,mm,-0.30740494124674717,-1.6205714518233794,-0.7293945209183704,-0.2845146791897024,
1882-03-01,43,mm,0.0597578117869623,-1.1057240152303975,-1.6215371007805828,-0.8397638135014559,
1882-04-01,40,mm,0.1121024450590359,-0.24099204785086123,-1.5756045942505437,-0.661342420503723,
1882-05-01,55,mm,0.12128244847450316,0.015127815123157083,-1.151953190910664,-0.5023465912664202,
1882-06-01,129,mm,1.824996641503549,1.4241554164191312,0.364506654255029,0.48565098370285686,
1882-07-01,123,mm,1.46930734026016,2.2661284481425548,1.4200100079413018,1.1490990877707232,
1882-08-01,96,mm,0.8261688561324096,2.286212864195036,2.142421503490013,0.9706012897065498,
1882-09-01,92,mm,1.2543025673039052,1.7453823654023934,2.6405519522985155,1.1762515660046051,
1882-10-01,60,mm,0.4821191575309679,1.4151091692984237,2.3899564234247324,1.2937786284354944,
1882-11-01,104,mm,1.6624130751101611,1.7666745887140394,2.8030087297201676,1.9431166297404976,
1882-12-01,86,mm,1.1415290506017937,2.1719271621468508,2.3959873704951344,2.4991482915331935,1.5904070103291985
1883-01-01,39,mm,-0.2718175227772159,1.6239488555614998,1.7447426337488148,2.397479941572895,1.548641333369403
1883-02-01,31,mm,-0.5028453125603481,0.058103418204955445,1.3689388570092138,2.3273999965727072,1.3426391568875287
1883-03-01,33,mm,-0.3787120420737538,-0.9842582304851057,0.8573454814887674,2.238059515361519,0.9844839426874826
1883-04-01,11,mm,-1.832124183337456,-1.4361655610938502,0.20382141898859987,1.7681483114579795,0.8148893704050387
1883-05-01,30,mm,-1.2520224344322566,-1.9764149323447755,-1.2816770558273356,1.6536748264868262,0.8093733247641742
1883-06-01,38,mm,-1.109200764817257,-2.464407668634641,-2.281022090757731,0.7454113356953768,0.8839071858252157
1883-07-01,104,mm,1.0638471433475223,-0.3925113366306137,-1.1334684461002684,0.6345496734769035,1.2521168867122445
1883-08-01,49,mm,-0.581781347000824,-0.24352067791336568,-1.419662922673696,0.1927166029282336,0.7493298939683338
1883-09-01,61,mm,0.34966729721394396,0.3994067059602257,-1.0382410155235762,-0.1509433735082821,0.6151859718102877
1883-10-01,52,mm,0.11785153928479078,-0.29579193105706214,-0.5012296399106391,-0.273687518558135,0.6454067440234385
1883-11-01,72,mm,0.7842302038805387,0.558231844810132,0.14955918695974446,-0.6477238637906305,0.9131522363397303
1883-12-01,65,mm,0.37722718352716533,0.7207106418585346,0.618115477947115,-0.9449717366181796,1.104818351469579
1884-01-01,59,mm,0.4654167211519111,0.8959839739465713,0.3033934948296628,-0.6178530743243092,1.2442293779217495
1884-02-01,32,mm,-0.4524296610075343,0.058103418204955445,0.4238386141119411,-0.6015415760365955,1.1668654574396888
1884-03-01,23,mm,-0.9213680455058457,-0.6660742509771904,-0.016888282869584246,-0.7113504830276276,1.0537480565044148
1884-04-01,26,mm,-0.6818633210979568,-1.2448749932647045,-0.2755749762950367,-0.48590333064466357,0.9195732320130917
1884-05-01,61,mm,0.38399490388005736,-0.7553546107663772,-0.5348433538119738,-0.2114102290737961,0.9840297126049802
1884-06-01,41,mm,-0.9587770001581944,-0.8248204134065548,-1.0277382516908125,-0.13125407582664084,0.42601086723074155
1884-07-01,81,mm,0.5028868183541952,-0.1323373968622013,-0.8443156772163244,-0.3577799505025992,0.1809678816596173
1884-08-01,56,mm,-0.32632051472748896,-0.5084250896657247,-0.9721525747274852,-0.33569903802141887,-0.10911944650559251
1884-09-01,28,mm,-1.0606625991642287,-0.4408162868062986,-1.0382410155235762,-0.7879289100533408,-0.5713563158023569
1884-10-01,60,mm,0.4821191575309679,-0.7276779076541138,-0.611413488836941,-0.7215605445223788,-0.6012868220382748
1884-11-01,26,mm,-1.1488098046153499,-1.0138502279361525,-1.1010833101867534,-1.2591276182867275,-1.1888410223860095
