Date,Mean
1/1/1969,38.16814159
2/1/1969,48.61946903
3/1/1969,45.33628319
4/1/1969,45.4159292
5/1/1969,67.82300885
6/1/1969,56.72566372
7/1/1969,59.01769912
8/1/1969,175.6460177
9/1/1969,32.75221239
10/1/1969,7.495575221
11/1/1969,69.59292035
12/1/1969,17.50442478
1/1/1970,67.75221239
2/1/1970,103.4159292
3/1/1970,65.2300885
4/1/1970,70.40707965
5/1/1970,52.15929204
6/1/1970,59.97345133
7/1/1970,101.9115044
8/1/1970,69.95575221
9/1/1970,53.25663717
10/1/1970,84.79646018
11/1/1970,40.12389381
12/1/1970,33.97345133
1/1/1971,35.7699115
2/1/1971,22.05309735
3/1/1971,29.97345133
4/1/1971,27.50442478
5/1/1971,81.90265487
6/1/1971,122.2035398
7/1/1971,36.2300885
8/1/1971,59.73451327
9/1/1971,10.61061947
10/1/1971,23.77876106
11/1/1971,74.91150442
12/1/1971,8.982300885
1/1/1972,25.86725664
2/1/1972,15.45132743
3/1/1972,43.02654867
4/1/1972,44.18584071
5/1/1972,97.26548673
6/1/1972,54.63716814
7/1/1972,68.61946903
8/1/1972,84.16814159
9/1/1972,72.92920354
10/1/1972,12.3539823
11/1/1972,49.97345133
12/1/1972,20.7079646
1/1/1973,26.23893805
2/1/1973,55.42477876
3/1/1973,23.24778761
4/1/1973,72.63716814
5/1/1973,68.45132743
6/1/1973,24.63716814
7/1/1973,78.21238938
8/1/1973,32.84070796
9/1/1973,30.20353982
10/1/1973,55.15929204
11/1/1973,54.02654867
12/1/1973,64.97345133
1/1/1974,46.75221239
2/1/1974,34.4159292
3/1/1974,65.39823009
4/1/1974,20.50442478
5/1/1974,53.45132743
6/1/1974,66.30088496
7/1/1974,77.39823009
8/1/1974,77.26548673
9/1/1974,78.03539823
10/1/1974,103.9911504
11/1/1974,96.0619469
12/1/1974,90.84070796
1/1/1975,59.54867257
2/1/1975,19.26548673
3/1/1975,70.00884956
4/1/1975,44
5/1/1975,24.9380531
6/1/1975,58.84955752
7/1/1975,73.68141593
8/1/1975,50.14159292
9/1/1975,55.5840708
10/1/1975,16.53982301
11/1/1975,76.27433628
12/1/1975,18
1/1/1976,64.36283186
2/1/1976,22.51327434
3/1/1976,22.60176991
4/1/1976,19.39823009
5/1/1976,42.66371681
6/1/1976,18.92920354
7/1/1976,68.92920354
8/1/1976,13.0619469
9/1/1976,47.69026549
10/1/1976,37.19469027
11/1/1976,55.84070796
12/1/1976,25.4159292
1/1/1977,36.22123894
2/1/1977,71.92035398
3/1/1977,43.6460177
4/1/1977,64.47787611
5/1/1977,43.65486726
6/1/1977,76.72566372
7/1/1977,45.37168142
8/1/1977,129.4955752
9/1/1977,26.15044248
10/1/1977,28.60176991
11/1/1977,87.72566372
12/1/1977,57.23893805
1/1/1978,29.43362832
2/1/1978,33.79646018
3/1/1978,74.81415929
4/1/1978,38.46902655
5/1/1978,66.09734513
6/1/1978,50.07079646
7/1/1978,64.69026549
8/1/1978,47.27433628
9/1/1978,60.56637168
10/1/1978,33.96460177
11/1/1978,15.15929204
12/1/1978,73.37168142
1/1/1979,49.2300885
2/1/1979,36.5840708
3/1/1979,98.5840708
4/1/1979,52.52212389
5/1/1979,65.85840708
6/1/1979,52.05309735
7/1/1979,58.38938053
8/1/1979,68.44247788
9/1/1979,21.76106195
10/1/1979,30.72566372
11/1/1979,76.12389381
12/1/1979,103.5840708
1/1/1980,37.23893805
2/1/1980,36.53982301
4/1/1980,35.26548673
5/1/1980,44.83185841
6/1/1980,80.78761062
7/1/1980,146.9292035
8/1/1980,71.07079646
9/1/1980,33.84070796
10/1/1980,40.08849558
11/1/1980,35.25663717
12/1/1980,62.44247788
1/1/1981,86.62831858
2/1/1981,33.44247788
3/1/1981,67.43362832
4/1/1981,25.47787611
5/1/1981,70.0619469
6/1/1981,119.9026549
7/1/1981,53.68141593
8/1/1981,75.65486726
9/1/1981,55.74336283
10/1/1981,85.66371681
11/1/1981,79.15929204
12/1/1981,80.7079646
1/1/1982,57.90265487
2/1/1982,22.12389381
3/1/1982,48.47787611
4/1/1982,35.74336283
5/1/1982,84.20353982
6/1/1982,87.43362832
7/1/1982,47.38053097
8/1/1982,67.55752212
9/1/1982,43.72566372
10/1/1982,115.6106195
11/1/1982,41.47787611
12/1/1982,66.9380531
1/1/1983,71.15929204
2/1/1983,48.2300885
3/1/1983,65.83185841
4/1/1983,47.30973451
5/1/1983,138.1150442
